ta,interval,annualized_return,maxdrawdown,WinRate,tradingtimes,line_angle_timeperiod,timeperiod,nbdevup,nbdevdn,matype
FARMUSDT,1h,0.0,0.0,0,0,20.0,10.0,2.0,1.0,4.0
FARMUSDT,1h,0.0,0.0,0,0,40.0,10.0,2.0,1.0,4.0
FARMUSDT,1h,0.12613874285777138,-0.30332309287230486,0.4166666666666667,12,50.0,25.0,1.5,1.0,2.0
FARMUSDT,1h,0.2374635154421696,-0.22489966477370493,0.45454545454545453,11,70.0,25.0,1.5,1.0,2.0
FARMUSDT,1h,0.16951295566570201,-0.21963598573137344,0.2857142857142857,7,80.0,15.0,2.0,1.0,3.0
FARMUSDT,2h,0.0,0.0,0,0,20.0,10.0,2.0,1.0,4.0
FARMUSDT,2h,0.0,0.0,0,0,40.0,10.0,2.5,1.0,3.0
FARMUSDT,2h,0.0,0.0,0,0,50.0,10.0,2.5,1.0,3.0
FARMUSDT,2h,0.03656420609344235,-0.06451612903225823,1.0,1,70.0,30.0,2.0,1.0,4.0
FARMUSDT,2h,0.0,0.0,0,0,80.0,10.0,2.5,1.0,3.0
FARMUSDT,4h,0.0,0.0,0,0,20.0,10.0,2.0,1.0,3.0
FARMUSDT,4h,0.0,0.0,0,0,40.0,10.0,2.0,1.0,4.0
FARMUSDT,4h,0.0,0.0,0,0,50.0,10.0,2.0,1.0,4.0
FARMUSDT,4h,0.0,0.0,0,0,70.0,10.0,2.0,1.0,4.0
FARMUSDT,4h,0.0,0.0,0,0,80.0,10.0,2.0,1.0,4.0
FARMUSDT,1d,0.0,0.0,0,0,20.0,10.0,1.5,1.0,4.0
FARMUSDT,1d,0.0,0.0,0,0,40.0,10.0,1.0,1.0,2.0
FARMUSDT,1d,0.0,0.0,0,0,50.0,10.0,1.0,1.0,2.0
FARMUSDT,1d,0.0,0.0,0,0,70.0,10.0,1.0,1.0,2.0
FARMUSDT,1d,0.0,0.0,0,0,80.0,10.0,1.0,1.0,2.0
IOSTUSDT,1h,2.3861937462641025,-0.46508887915029606,0.5625,16,20.0,320.0,2.5,1.5,4.0
IOSTUSDT,1h,2.591986247852535,-0.6756991417417545,0.6,5,40.0,20.0,2.5,3.5,3.0
IOSTUSDT,1h,2.3861937462641025,-0.46508887915029606,0.5625,16,50.0,320.0,2.5,1.5,4.0
IOSTUSDT,1h,2.3861937462641025,-0.46508887915029606,0.5625,16,70.0,320.0,2.5,1.5,4.0
IOSTUSDT,1h,2.3861937462641025,-0.46508887915029606,0.5625,16,80.0,320.0,2.5,1.5,4.0
IOSTUSDT,2h,2.4459982060962018,-0.5949676718278573,0.42424242424242425,66,20.0,80.0,1.0,1.5,4.0
IOSTUSDT,2h,2.3363950359592476,-0.5903173411619856,0.40540540540540543,37,40.0,65.0,1.0,2.5,2.0
